	name	contri	userType	prevReviewCount	prevPhotosReview	rating	reviewDate	reviewText	reviewDate2	formatted_date	location
989	Charlie Nyiti	https://lh3.googleusercontent.com/a-/ACNPEu-3coWrd6LBEnXJN3XAnnxn8YDuStxjzMLmx2Sp9ok=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	71.0	14.0	1	2 years ago		2021-02-12 19:30:30.288793	02-12-2021	100_king_st
990	Nikhilkumar Patel	https://lh3.googleusercontent.com/a-/ACNPEu-8dsKhzhlOaOm5uWSvDJRVe0tcIMkMRNdgZ7--7Vc=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	73.0	3.0	5	2 years ago		2021-02-12 19:30:30.289794	02-12-2021	100_king_st
991	Conor Flynn	https://lh3.googleusercontent.com/a-/ACNPEu-NXWMBVzqc7C8-xj2ZUI-NrnM9bzKJg8KgLC8vsIE=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	19.0	614.0	5	2 years ago		2021-02-12 19:30:30.289794	02-12-2021	100_king_st
992	Claude Robert	https://lh3.googleusercontent.com/a-/ACNPEu9kbBhGDobEm5PuPChV70fHLJCP5EHppWAZ_fwN=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	8.0	0.0	1	2 years ago		2021-02-12 19:30:30.290793	02-12-2021	100_king_st
993	Zainab Uno	https://lh3.googleusercontent.com/a/ALm5wu09exF6N_UZp6TfkYtluxy2BVbLUkUozTCMs5ZfbVM=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	98.0	262.0	5	3 years ago		2020-02-13 19:30:30.290793	02-13-2020	100_king_st
994	Andrew Dang	https://lh3.googleusercontent.com/a-/ACNPEu83w3doIdCUUujhwUEtCE0q3cbAhCuVRgQxlSOUZC8=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	5.0	0.0	4	4 years ago		2019-02-13 19:30:30.290793	02-13-2019	100_king_st
995	francis julien	https://lh3.googleusercontent.com/a-/ACNPEu_yuCEGS9ZHcslooAVGP-QyWBOT_hMpZk2UUn0P=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	1	3 years ago		2020-02-13 19:30:30.291793	02-13-2020	100_king_st
996	Yasin Razak	https://lh3.googleusercontent.com/a-/ACNPEu_HH1MrEJs4AiEN41be5KYZVO9tjwZPWz14CO5NdL8=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	38.0	6.0	4	4 years ago		2019-02-13 19:30:30.291793	02-13-2019	100_king_st
997	Carren O	https://lh3.googleusercontent.com/a-/ACNPEu9lABR-2Y-v-K25mL_gPZkBWBDznPYIctUauPpFeA=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	13.0	221.0	5	2 years ago		2021-02-12 19:30:30.292794	02-12-2021	100_king_st
998	Melody Fu	https://lh3.googleusercontent.com/a/ALm5wu1EDfio8-shzxC988-YDPohi9KfF3ztFF1vbhyW=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	1.0	0.0	2	3 years ago		2020-02-13 19:30:30.292794	02-13-2020	100_king_st
999	Shakes AV	https://lh3.googleusercontent.com/a-/ACNPEu-OnF8Ooqh7OWguJ5mmtPBwxyMJRffcNgmT-3Fsag=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	13.0	14.0	4	3 years ago		2020-02-13 19:30:30.293794	02-13-2020	100_king_st
1000	Bree O	https://lh3.googleusercontent.com/a-/ACNPEu82QuN3aaA2gA0ndf66h7Y_Mc8c2trHtOgORrPMAA=s40-c-c0x00000000-cc-rp-mo-ba6-br100	Local Guide	300.0	1470.0	4	5 years ago		2018-02-13 19:30:30.293794	02-13-2018	100_king_st
1001	Anita Suhanda	https://lh3.googleusercontent.com/a/ALm5wu3P1XlDrkHJGAExu0mAspGgsRpNzTYPoY0x1p3j=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	20.0	0.0	3	3 years ago		2020-02-13 19:30:30.293794	02-13-2020	100_king_st
1002	Annie De la Sablonniere	https://lh3.googleusercontent.com/a-/ACNPEu_EMRKrolC7QvaWRqdhxQJN2eI-Zrzwx5LV2yi3PQ=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	1.0	0.0	1	3 years ago		2020-02-13 19:30:30.294794	02-13-2020	100_king_st
1003	Maggie Ma	https://lh3.googleusercontent.com/a-/ACNPEu-aUIGTmpT91-2SSOL5NSuicdtL0yq6L7KZvt7B=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	4.0	0.0	2	3 years ago		2020-02-13 19:30:30.294794	02-13-2020	100_king_st
1004	Sahba Ezami	https://lh3.googleusercontent.com/a/ALm5wu2TrB1htAFcCxWiCpohC4dSJ0ZOB9Qs7b7GIZuw=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	23.0	24.0	5	3 years ago		2020-02-13 19:30:30.295795	02-13-2020	100_king_st
1005	AGENDA THÃ‰RAPEUTES	https://lh3.googleusercontent.com/a/ALm5wu0Ma4hGresU8MT___FgoxasmdXMvHkuD3KtGKhU=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	3.0	0.0	1	3 years ago		2020-02-13 19:30:30.295795	02-13-2020	100_king_st
1006	Nguyen Nam	https://lh3.googleusercontent.com/a-/ACNPEu8DFfvKfYaNyyX8OdFoewaz78XXVAtQQW0Y06V2tQ=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	3	2 years ago		2021-02-12 19:30:30.295795	02-12-2021	100_king_st
1007	A Yee	https://lh3.googleusercontent.com/a-/ACNPEu8G1VnGDGE1pm5G8IZiAyauyOStRCx4b8b_lzF3hw=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	46.0	54.0	5	3 years ago		2020-02-13 19:30:30.296795	02-13-2020	100_king_st
1008	Edwin Zhong (Nathan)	https://lh3.googleusercontent.com/a-/ACNPEu8hoZAxV4JW0beHinUaZ5OaBNHDGidQH8EtJ3JJZw=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	4.0	245.0	5	2 years ago		2021-02-12 19:30:30.296795	02-12-2021	100_king_st
1009	Karen Mena	https://lh3.googleusercontent.com/a-/ACNPEu_BV7SKOuBeHjen9GFmhIJTN03c1gk5AidWRUzOMA=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	47.0	2.0	4	2 years ago		2021-02-12 19:30:30.297795	02-12-2021	100_king_st
1010	Guillaume Woof	https://lh3.googleusercontent.com/a/ALm5wu04A2WrjyZ9kkD69UgpbHL1aAef0BBQnxsiytl6=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	5	4 years ago		2019-02-13 19:30:30.297795	02-13-2019	100_king_st
